FID,GEOMETRIA,gml_id,ID_EQ_ED,NOME,INSTANCIA,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL
ESCOLAS_ESTADUAIS.160,POINT (603517.8413287 7793117.85521251),ESCOLAS_ESTADUAIS.922.Estadual.ESCOLA ESTADUAL DIOGO DE VASCONCELOS,922,ESCOLA ESTADUAL DIOGO DE VASCONCELOS,Estadual,RUA,PROFESSOR LUIZ POMPEU,30,,Bairro das Indústrias I,BARREIRO
ESCOLAS_ESTADUAIS.161,POINT (603715.33893052 7795438.75517948),ESCOLAS_ESTADUAIS.1032.Estadual.ESCOLA ESTADUAL HUGO WERNECK,1032,ESCOLA ESTADUAL HUGO WERNECK,Estadual,RUA,DOUTOR ZEFERINO MOTA,115,,Santa Maria,OESTE
ESCOLAS_ESTADUAIS.162,POINT (611345.17105522 7807512.12125917),ESCOLAS_ESTADUAIS.931.Estadual.ESCOLA ESTADUAL PROFESSOR BOLIVAR DE FREITAS,931,ESCOLA ESTADUAL PROFESSOR BOLIVAR DE FREITAS,Estadual,RUA,JOSE PINTO DE MOURA,395,,Jardim Guanabara,NORTE
ESCOLAS_ESTADUAIS.163,POINT (603859.56008849 7799551.25007404),ESCOLAS_ESTADUAIS.986.Estadual.ESCOLA ESTADUAL MARIETA BROCHADO,986,ESCOLA ESTADUAL MARIETA BROCHADO,Estadual,AVE,ABILIO MACHADO,2085,,Glória,NOROESTE
ESCOLAS_ESTADUAIS.164,POINT (615384.05571671 7798926.38226483),ESCOLAS_ESTADUAIS.573.Estadual.ESCOLA ESTADUAL SARAH KUBITSCHEK SAO GERALDO,573,ESCOLA ESTADUAL SARAH KUBITSCHEK SAO GERALDO,Estadual,RUA,JANAITIBA,144,,São Geraldo,LESTE
ESCOLAS_ESTADUAIS.165,POINT (606087.38594943 7807043.36490757),ESCOLAS_ESTADUAIS.934.Estadual.ESCOLA ESTADUAL SIRIA MARQUES DA SILVA,934,ESCOLA ESTADUAL SIRIA MARQUES DA SILVA,Estadual,RUA,INGLATERRA,410,,Jardim Leblon,VENDA NOVA
ESCOLAS_ESTADUAIS.166,POINT (608970.18060567 7798940.29045081),ESCOLAS_ESTADUAIS.545.Estadual.ESCOLA ESTADUAL PROFESSOR RICARDO DE SOUZA CRUZ,545,ESCOLA ESTADUAL PROFESSOR RICARDO DE SOUZA CRUZ,Estadual,RUA,GONCALO LACO,120,,Nova Esperança,NOROESTE
ESCOLAS_ESTADUAIS.167,POINT (606834.98953767 7794890.52340887),ESCOLAS_ESTADUAIS.962.Estadual.ESCOLA ESTADUAL OLIMPIA REZENDE PEREIRA,962,ESCOLA ESTADUAL OLIMPIA REZENDE PEREIRA,Estadual,RUA,LINDOLFO DEODORO,84,,Salgado Filho,OESTE
ESCOLAS_ESTADUAIS.168,POINT (604820.37069533 7796773.17054839),ESCOLAS_ESTADUAIS.1031.Estadual.ESCOLA ESTADUAL ASSIS DAS CHAGAS,1031,ESCOLA ESTADUAL ASSIS DAS CHAGAS,Estadual,PCA,DA COMUNIDADE,165,,Dom Cabral,NOROESTE
ESCOLAS_ESTADUAIS.169,POINT (615980.80975599 7808315.7709531),ESCOLAS_ESTADUAIS.930.Estadual.ESCOLA ESTADUAL MARGARIDA DE MELLO PRADO,930,ESCOLA ESTADUAL MARGARIDA DE MELLO PRADO,Estadual,RUA,JOAQUIM ABREU,50,,Monte Azul,NORTE
