FID,GEOMETRIA,gml_id,ID_EQ_ED,NOME,INSTANCIA,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.145,POINT (613155.24238792 7805645.45093983),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.249.Municipal.ESCOLA MUNICIPAL SEBASTIANA NOVAIS,249,ESCOLA MUNICIPAL SEBASTIANA NOVAIS,Municipal,RUA,ANITA MALFATTI,60,,Tupi B,NORTE
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.146,POINT (616411.29531332 7797136.60683614),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.583.Municipal.ESCOLA MUNICIPAL GEORGE RICARDO SALUM,583,ESCOLA MUNICIPAL GEORGE RICARDO SALUM,Municipal,RUA,DESEMBARGADOR BRAULIO,2250,,Taquaril,LESTE
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.147,POINT (616220.28766346 7797942.66710639),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.581.Municipal.ESCOLA MUNICIPAL ISRAEL PINHEIRO,581,ESCOLA MUNICIPAL ISRAEL PINHEIRO,Municipal,RUA,DESEMBARGADOR BRAULIO,1147,,Alto Vera Cruz,LESTE
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.148,POINT (614942.87725607 7807820.94952163),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.257.Municipal.ESCOLA MUNICIPAL SECRETARIO HUMBERTO ALMEIDA,257,ESCOLA MUNICIPAL SECRETARIO HUMBERTO ALMEIDA,Municipal,TRV,SERRA DO ITATIAIA,3,,Ribeiro de Abreu,NORTE
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.149,POINT (613803.50101364 7804366.61429279),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.71.Municipal.ESCOLA MUNICIPAL OSWALDO FRANCA JUNIOR,71,ESCOLA MUNICIPAL OSWALDO FRANCA JUNIOR,Municipal,RUA,CIRCULAR,335,,São Gabriel,NORDESTE
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.150,POINT (604000.21055273 7802011.50244993),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.314.Municipal.ESCOLA MUNICIPAL MARIA DE MAGALHAES PINTO,314,ESCOLA MUNICIPAL MARIA DE MAGALHAES PINTO,Municipal,RUA,SENADOR VIRGILIO TAVORA,155,,Santa Terezinha,PAMPULHA
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.151,POINT (617523.55989768 7805941.22166257),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.246.Municipal.ESCOLA MUNICIPAL PERSIO PEREIRA PINTO,246,ESCOLA MUNICIPAL PERSIO PEREIRA PINTO,Municipal,ROD,ANEL RODOVIARIO CELSO MELLO AZEVEDO,28177,,Capitão Eduardo,NORDESTE
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.152,POINT (610939.09282952 7799455.22810911),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.53.Municipal.ESCOLA MUNICIPAL HUGO PINHEIRO SOARES,53,ESCOLA MUNICIPAL HUGO PINHEIRO SOARES,Municipal,RUA,JUNDIAI,567,,Concórdia,NORDESTE
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.153,POINT (610924.40689665 7799424.07428577),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.551.Municipal.ESCOLA MUNICIPAL AMERICO RENE GIANNETTI,551,ESCOLA MUNICIPAL AMERICO RENE GIANNETTI,Municipal,RUA,JUNDIAI,557,,Concórdia,NORDESTE
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.154,POINT (614747.55559795 7799286.43100087),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.611.Municipal.ESCOLA MUNICIPAL PADRE FRANCISCO CARVALHO MOREIRA,611,ESCOLA MUNICIPAL PADRE FRANCISCO CARVALHO MOREIRA,Municipal,RUA,ITAITUBA,12,,São Geraldo,LESTE
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.155,POINT (611943.59945771 7804050.0173135),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.474.Municipal.ESCOLA MUNICIPAL JOSEFINA SOUZA LIMA,474,ESCOLA MUNICIPAL JOSEFINA SOUZA LIMA,Municipal,RUA,MARIA ORTIZ,195,,Minaslândia,NORTE
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.156,POINT (602168.16176348 7787835.02248727),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.59.Municipal.ESCOLA MUNICIPAL DA VILA PINHO,59,ESCOLA MUNICIPAL DA VILA PINHO,Municipal,RUA,COLETORA,956,,Vila Pinho,BARREIRO
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.157,POINT (613484.2111316 7798909.86582311),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.569.Municipal.ESCOLA MUNICIPAL PROFESSOR DOMICIANO VIEIRA,569,ESCOLA MUNICIPAL PROFESSOR DOMICIANO VIEIRA,Municipal,RUA,SAO BENTO,1591,,Sagrada Família,LESTE
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.158,POINT (611238.59086366 7793276.77262795),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.229.Municipal.ESCOLA MUNICIPAL BENJAMIM JACOB,229,ESCOLA MUNICIPAL BENJAMIM JACOB,Municipal,RUA,VENEZUELA,643,,Sion,CENTRO-SUL
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.159,POINT (610755.423166 7794416.14687184),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.109.Municipal.ESCOLA MUNICIPAL PRESIDENTE JOAO PESSOA,109,ESCOLA MUNICIPAL PRESIDENTE JOAO PESSOA,Municipal,RUA,CONGONHAS,639,,Santo Antônio,CENTRO-SUL
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.160,POINT (604280.82735588 7808989.96937138),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.267.Municipal.ESCOLA MUNICIPAL MARIO MOURAO FILHO,267,ESCOLA MUNICIPAL MARIO MOURAO FILHO,Municipal,RUA,MARIA GERTRUDES SANTOS,1029,,Céu Azul,VENDA NOVA
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.161,POINT (612627.16774016 7807917.9206484),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.290.Municipal.ESCOLA MUNICIPAL FLORESTAN FERNANDES,290,ESCOLA MUNICIPAL FLORESTAN FERNANDES,Municipal,RUA,PAU-FERRO,360,,Solimões,NORTE
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.162,POINT (605029.83451818 7809498.2685331),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.266.Municipal.ESCOLA MUNICIPAL PROFESSOR MOACYR ANDRADE,266,ESCOLA MUNICIPAL PROFESSOR MOACYR ANDRADE,Municipal,RUA,DOS CACADORES,93,,Lagoa,VENDA NOVA
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.163,POINT (616129.78099038 7799287.10065913),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.216.Municipal.ESCOLA MUNICIPAL WLADIMIR DE PAULA GOMES,216,ESCOLA MUNICIPAL WLADIMIR DE PAULA GOMES,Municipal,RUA,UARIRA,350,,Casa Branca,LESTE
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.164,POINT (606246.53165335 7807361.74178806),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1192.Municipal.ESCOLA MUNICIPAL JARDIM LEBLON,1192,ESCOLA MUNICIPAL JARDIM LEBLON,Municipal,RUA,SILVA XAVIER,45,,Jardim Leblon,VENDA NOVA
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.165,POINT (616862.44718227 7798349.57954247),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.582.Municipal.ESCOLA MUNICIPAL DOUTOR JULIO SOARES,582,ESCOLA MUNICIPAL DOUTOR JULIO SOARES,Municipal,RUA,SAO VICENTE,200,,Granja de Freitas,LESTE
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.166,POINT (608321.2620722 7798575.82277908),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.541.Municipal.ESCOLA MUNICIPAL MONSENHOR ARTUR DE OLIVEIRA,541,ESCOLA MUNICIPAL MONSENHOR ARTUR DE OLIVEIRA,Municipal,RUA,FORNACIARI,157,,Caiçaras,NOROESTE
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.167,POINT (603996.15123103 7788640.30583698),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1421.Municipal.ESCOLA MUNICIPAL POLO DE EDUCAÇÃO INTEGRADA,1421,ESCOLA MUNICIPAL POLO DE EDUCAÇÃO INTEGRADA,Municipal,PCA,MODESTINO SALES BARBOSA,11,,Flávio Marques Lisboa,BARREIRO
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.168,POINT (617442.99584993 7797017.35071378),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.619.Municipal.ESCOLA MUNICIPAL FERNANDO DIAS COSTA,619,ESCOLA MUNICIPAL FERNANDO DIAS COSTA,Municipal,RUA,PEDRO ALEXANDRINO MENDONCA,10,,Conjunto Taquaril,LESTE
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.169,POINT (600257.53156706 7787691.17125368),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.58.Municipal.ESCOLA MUNICIPAL ELOY HERALDO LIMA,58,ESCOLA MUNICIPAL ELOY HERALDO LIMA,Municipal,RUA,ENGRACIA COSTA E SILVA,6,,Vale do Jatobá,BARREIRO
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.170,POINT (604651.00847228 7797435.80923803),ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.673.Municipal.ESCOLA MUNICIPAL DOM BOSCO,673,ESCOLA MUNICIPAL DOM BOSCO,Municipal,RUA,BICUIBA,100,,Dom Bosco,NOROESTE
