FID,GEOMETRIA,gml_id,ID_EQ_ED,NOME,INSTANCIA,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL
ESCOLAS_PARTICULARES.209,POINT (611292.56076891 7798226.3946164),ESCOLAS_PARTICULARES.2851.Particular.BATISTA BABY,2851,BATISTA BABY,Particular,RUA,ARAXA,510,,Colégio Batista,LESTE
ESCOLAS_PARTICULARES.210,POINT (604025.92697478 7789684.04338723),ESCOLAS_PARTICULARES.2297.Particular.INST EDUC APRENDER,2297,INST EDUC APRENDER,Particular,RUA,JOSE DE OLIVEIRA,526,,Milionários,BARREIRO
ESCOLAS_PARTICULARES.211,POINT (607888.09078859 7806509.37863901),ESCOLAS_PARTICULARES.2746.Particular.BERÇÁRIO E MATERNAL ALEGRIA DE VIVER,2746,BERÇÁRIO E MATERNAL ALEGRIA DE VIVER,Particular,RUA,LIMA BARRETO,197,,Santa Branca,PAMPULHA
ESCOLAS_PARTICULARES.212,POINT (606130.21460889 7803529.22135927),ESCOLAS_PARTICULARES.2289.Particular.NÚCLEO DA CRIANÇA,2289,NÚCLEO DA CRIANÇA,Particular,RUA,LOMBARDIA,160,,Bandeirantes,PAMPULHA
ESCOLAS_PARTICULARES.213,POINT (607274.13820569 7795891.34990798),ESCOLAS_PARTICULARES.2182.Particular.ESC INF VOVO NENEM,2182,ESC INF VOVO NENEM,Particular,RUA,LIMOEIRO,254,,Nova Suissa,OESTE
ESCOLAS_PARTICULARES.214,POINT (608178.07239495 7797751.80121851),ESCOLAS_PARTICULARES.2201.Particular.INST PEDAG LAPIS DE COR,2201,INST PEDAG LAPIS DE COR,Particular,RUA,LIMA DUARTE,353,,Carlos Prates,NOROESTE
ESCOLAS_PARTICULARES.215,POINT (613218.71578385 7798490.75080747),ESCOLAS_PARTICULARES.2679.Particular.INST INF PSICOPEDAG BEIJA FLOR,2679,INST INF PSICOPEDAG BEIJA FLOR,Particular,RUA,VICENTINA DE SOUZA,276,,Sagrada Família,LESTE
ESCOLAS_PARTICULARES.216,POINT (611156.21573348 7800014.75060172),ESCOLAS_PARTICULARES.2139.Particular.CENTRO EDUCACIONAL DE FORMACAO INFANTIL - RECANTO FELIZ,2139,CENTRO EDUCACIONAL DE FORMACAO INFANTIL - RECANTO FELIZ,Particular,RUA,TEFE,185,,Renascença,NORDESTE
ESCOLAS_PARTICULARES.217,POINT (608467.10572921 7798210.52784604),ESCOLAS_PARTICULARES.2067.Particular.COL PEDRO II,2067,COL PEDRO II,Particular,RUA,AREADO,437,,Carlos Prates,NOROESTE
ESCOLAS_PARTICULARES.218,POINT (609361.68913104 7797664.15905782),ESCOLAS_PARTICULARES.2798.Particular.CASINHA BRANCA AMOR & CIA,2798,CASINHA BRANCA AMOR & CIA,Particular,RUA,TREMEDAL,156,,Carlos Prates,NOROESTE
ESCOLAS_PARTICULARES.219,POINT (606884.94260077 7791861.90009081),ESCOLAS_PARTICULARES.2653.Particular.CASINHA DA ALEGRIA,2653,CASINHA DA ALEGRIA,Particular,RUA,DONA LUCI,74,,Parque São José,OESTE
ESCOLAS_PARTICULARES.220,POINT (605133.16245515 7801622.15341954),ESCOLAS_PARTICULARES.2401.Particular.AQUARELA CENTRO DE EDUCACAO,2401,AQUARELA CENTRO DE EDUCACAO,Particular,RUA,CASTELO LAMEGO,510,,Castelo,PAMPULHA
ESCOLAS_PARTICULARES.221,POINT (604740.07481172 7801372.71419217),ESCOLAS_PARTICULARES.2444.Particular.COLEGUIUM UNIDADE CASTELO,2444,COLEGUIUM UNIDADE CASTELO,Particular,RUA,CASTELO GUIMARAES,615,,Castelo,PAMPULHA
